county,municipality,dem_registered,rep_registered,green_registered,lib_registered,unenrolled_registered,total_registered,dem_2018_ballots,rep_2018_ballots,dem_turnout_2018_pct,rep_turnout_2018_pct
YOR,LYMAN,990,1324,122,21,1144,3692,301,384,30.4,29.0
YOR,NEWFIELD,263,478,65,3,445,1282,95,138,36.12,28.87
YOR,NORTH BERWICK,1131,1284,145,15,1385,4008,416,350,36.78,27.26
YOR,OGUNQUIT,659,279,48,2,391,1392,238,132,36.12,47.31
YOR,OLD ORCHARD BEACH,3041,1885,186,49,2565,7847,1019,573,33.51,30.4
YOR,PARSONSFIELD,372,488,58,10,504,1458,134,150,36.02,30.74
YOR,SACO,6514,3714,509,81,4705,15798,1999,1085,30.69,29.21
YOR,SANFORD,4318,4164,476,126,5077,14442,1532,1079,35.48,25.91
YOR,SHAPLEIGH,523,882,118,18,742,2317,189,232,36.14,26.3
YOR,SOUTH BERWICK,2384,1458,173,17,1878,5960,787,321,33.01,22.02
YOR,WATERBORO,1469,2149,253,20,1787,5771,395,573,26.89,26.66
YOR,WELLS,3272,2728,169,23,3954,10261,933,851,28.51,31.2
YOR,YORK,4754,2821,258,26,4105,12018,1357,791,28.54,28.04
