county,municipality,dem_registered,rep_registered,green_registered,lib_registered,unenrolled_registered,total_registered
SOM,PLEASANT RIDGE PLT,10.0,22.0,0.0,0.0,21.0,53
SOM,RIPLEY,68.0,155.0,7.0,5.0,102.0,337
SOM,ROCKWOOD STRIP TWP,47.0,135.0,7.0,1.0,63.0,253
SOM,SAINT ALBANS,207.0,654.0,28.0,5.0,421.0,1315
SOM,SKOWHEGAN,1295.0,1778.0,129.0,30.0,1414.0,4646
SOM,SMITHFIELD,166.0,274.0,21.0,1.0,233.0,695
SOM,SOLON,140.0,283.0,25.0,1.0,220.0,669
SOM,STARKS,102.0,149.0,16.0,2.0,171.0,440
SOM,THE FORKS PLT,8.0,17.0,5.0,0.0,14.0,44
SOM,WEST FORKS PLT,9.0,25.0,0.0,0.0,20.0,54
WAL,BELFAST,2276.0,950.0,184.0,11.0,1257.0,4678
WAL,BELMONT,152.0,246.0,29.0,4.0,211.0,642
WAL,BROOKS,160.0,280.0,35.0,2.0,193.0,670
WAL,BURNHAM,134.0,244.0,22.0,6.0,303.0,709
WAL,FRANKFORT,146.0,276.0,27.0,10.0,290.0,749
WAL,FREEDOM,161.0,161.0,27.0,2.0,164.0,515
WAL,ISLESBORO,276.0,69.0,10.0,0.0,149.0,504
WAL,JACKSON,94.0,146.0,18.0,2.0,127.0,387
WAL,KNOX,93.0,233.0,23.0,1.0,172.0,522
WAL,LIBERTY,229.0,230.0,17.0,2.0,210.0,688
WAL,LINCOLNVILLE,838.0,437.0,73.0,5.0,552.0,1905
WAL,MONROE,240.0,200.0,42.0,3.0,175.0,660
WAL,MONTVILLE,237.0,208.0,30.0,5.0,262.0,742
WAL,MORRILL,161.0,300.0,21.0,2.0,191.0,675
WAL,NORTHPORT,472.0,349.0,49.0,8.0,358.0,1236
WAL,PALERMO,248.0,487.0,73.0,7.0,334.0,1149
WAL,PROSPECT,109.0,188.0,16.0,0.0,176.0,489
WAL,SEARSMONT,329.0,335.0,32.0,3.0,356.0,1055
WAL,SEARSPORT,577.0,596.0,63.0,10.0,609.0,1855
WAL,STOCKTON SPRINGS,374.0,421.0,23.0,6.0,427.0,1251
WAL,SWANVILLE,251.0,351.0,30.0,5.0,332.0,969
WAL,THORNDIKE,127.0,190.0,42.0,0.0,177.0,536
WAL,TROY,120.0,264.0,38.0,7.0,193.0,622
WAL,UNITY,291.0,392.0,34.0,6.0,311.0,1034
WAL,WALDO,152.0,208.0,30.0,0.0,161.0,551
WAL,WINTERPORT,653.0,976.0,135.0,24.0,749.0,2537
WAS,ADDISON,196.0,375.0,17.0,4.0,218.0,810
WAS,ALEXANDER,71.0,187.0,14.0,0.0,112.0,384
WAS,BAILEYVILLE,146.0,335.0,36.0,8.0,237.0,762
WAS,BARING PLT,45.0,61.0,3.0,0.0,32.0,141
WAS,BEALS,80.0,138.0,8.0,3.0,83.0,312
WAS,BEDDINGTON,17.0,32.0,0.0,2.0,30.0,81
WAS,BIG LAKE TWP,7.0,40.0,3.0,1.0,29.0,80
WAS,BROOKTON TWP,20.0,51.0,1.0,0.0,24.0,96
WAS,CALAIS,384.0,613.0,36.0,15.0,670.0,1718
WAS,CHARLOTTE,53.0,116.0,6.0,1.0,75.0,251
WAS,CHERRYFIELD,161.0,326.0,20.0,2.0,237.0,746
WAS,CODYVILLE TWP,1.0,3.0,0.0,0.0,5.0,9
WAS,COLUMBIA,38.0,143.0,10.0,0.0,78.0,269
WAS,COLUMBIA FALLS,75.0,193.0,13.0,3.0,106.0,390
WAS,COOPER,24.0,63.0,2.0,2.0,30.0,121
WAS,CRAWFORD,11.0,43.0,2.0,0.0,26.0,82
WAS,CUTLER,72.0,186.0,10.0,3.0,110.0,381
WAS,DANFORTH,54.0,161.0,8.0,2.0,122.0,347
WAS,DEBLOIS,7.0,31.0,2.0,0.0,11.0,51
WAS,DENNYSVILLE,44.0,82.0,10.0,0.0,62.0,198
WAS,EAST MACHIAS,190.0,444.0,42.0,5.0,282.0,963
WAS,EASTPORT,381.0,251.0,26.0,1.0,282.0,941
WAS,EDMUNDS TWP,42.0,61.0,11.0,1.0,47.0,162
WAS,GRAND LAKE STREAM PLT,25.0,65.0,5.0,0.0,36.0,131
WAS,HARRINGTON,132.0,301.0,21.0,1.0,162.0,617
WAS,INDIAN TOWNSHIP,176.0,49.0,13.0,3.0,79.0,320
WAS,JONESBORO,79.0,173.0,17.0,5.0,120.0,394
WAS,JONESPORT,198.0,398.0,31.0,2.0,212.0,841
WAS,LUBEC,346.0,270.0,27.0,3.0,357.0,1003
WAS,MACHIAS,262.0,385.0,35.0,8.0,381.0,1071
WAS,MACHIASPORT,139.0,236.0,18.0,4.0,252.0,649
WAS,MARSHFIELD,60.0,190.0,7.0,2.0,101.0,360
WAS,MEDDYBEMPS,23.0,47.0,6.0,0.0,29.0,105
WAS,MILBRIDGE,211.0,352.0,46.0,1.0,249.0,859
WAS,NORTHFIELD,26.0,58.0,7.0,1.0,49.0,141
WAS,PEMBROKE,139.0,216.0,23.0,2.0,166.0,546
WAS,PERRY,127.0,230.0,17.0,1.0,181.0,556
WAS,PLEASANT POINT VOTING DISTRICT,136.0,27.0,11.0,1.0,102.0,277
WAS,PRINCETON,84.0,201.0,9.0,2.0,162.0,458
WAS,ROBBINSTON,88.0,185.0,9.0,2.0,120.0,404
WAS,ROQUE BLUFFS,60.0,75.0,3.0,2.0,87.0,227
WAS,STEUBEN,194.0,340.0,24.0,5.0,284.0,847
WAS,TALMADGE,3.0,25.0,2.0,0.0,10.0,40
WAS,TOPSFIELD,9.0,69.0,2.0,0.0,40.0,120
WAS,VANCEBORO,25.0,37.0,2.0,0.0,31.0,95
WAS,WAITE,11.0,29.0,2.0,0.0,10.0,52
WAS,WESLEY,23.0,47.0,7.0,1.0,39.0,117
WAS,WHITING,120.0,168.0,10.0,2.0,109.0,409
WAS,WHITNEYVILLE,28.0,45.0,4.0,2.0,44.0,123
YOR,ACTON,476.0,746.0,87.0,10.0,624.0,1943
YOR,ALFRED,596.0,734.0,58.0,10.0,802.0,2200
YOR,ARUNDEL,988.0,948.0,77.0,12.0,1082.0,3107
YOR,BERWICK,1436.0,1532.0,115.0,26.0,2112.0,5221
YOR,BIDDEFORD,5810.0,2458.0,410.0,117.0,3699.0,12494
YOR,BUXTON,1579.0,2025.0,185.0,28.0,1765.0,5582
YOR,CORNISH,282.0,370.0,52.0,5.0,321.0,1030
YOR,DAYTON,377.0,564.0,41.0,8.0,570.0,1560
YOR,ELIOT,1912.0,1287.0,100.0,20.0,1727.0,5046
YOR,HOLLIS,824.0,1229.0,136.0,13.0,1074.0,3276
YOR,KENNEBUNK,3489.0,1999.0,147.0,26.0,3474.0,9135
YOR,KENNEBUNKPORT,1238.0,834.0,64.0,11.0,896.0,3043
YOR,KITTERY,3339.0,1374.0,154.0,29.0,2300.0,7196
YOR,LEBANON,764.0,1479.0,182.0,14.0,1649.0,4088
YOR,LIMERICK,509.0,732.0,78.0,14.0,929.0,2262
YOR,LIMINGTON,591.0,1005.0,151.0,15.0,829.0,2591
YOR,LYMAN,853.0,1213.0,111.0,21.0,1109.0,3307
YOR,NEWFIELD,226.0,437.0,59.0,7.0,394.0,1123
YOR,NORTH BERWICK,985.0,1144.0,113.0,15.0,1295.0,3552
YOR,OGUNQUIT,574.0,234.0,38.0,1.0,363.0,1210
YOR,OLD ORCHARD BEACH,2625.0,1602.0,142.0,44.0,2263.0,6676
YOR,PARSONSFIELD,321.0,446.0,39.0,7.0,469.0,1282
YOR,SACO,5701.0,3142.0,411.0,72.0,4311.0,13637
YOR,SANFORD,3645.0,3600.0,399.0,98.0,4546.0,12288
YOR,SHAPLEIGH,476.0,787.0,101.0,14.0,688.0,2066
YOR,SOUTH BERWICK,2081.0,1231.0,141.0,16.0,1710.0,5179
YOR,WATERBORO,1258.0,1913.0,212.0,18.0,1641.0,5042
YOR,WELLS,2929.0,2466.0,154.0,20.0,3570.0,9139
YOR,YORK,4107.0,2410.0,210.0,27.0,3657.0,10411
