county,municipality,dem_registered,rep_registered,green_registered,lib_registered,unenrolled_registered,total_registered
CUM,CHEBEAGUE ISLAND,192.0,68.0,13.0,0.0,85.0,358
CUM,CUMBERLAND,2830.0,1540.0,113.0,16.0,2030.0,6529
CUM,FALMOUTH,4434.0,2232.0,127.0,29.0,2879.0,9701
CUM,FREEPORT,3135.0,1248.0,145.0,27.0,2079.0,6634
CUM,FRYE ISLAND,15.0,15.0,2.0,0.0,22.0,54
CUM,GORHAM,4498.0,3562.0,384.0,49.0,3860.0,12353
CUM,GRAY,1691.0,1922.0,192.0,49.0,2090.0,5944
CUM,HARPSWELL,1625.0,1063.0,109.0,11.0,1339.0,4147
CUM,HARRISON,461.0,656.0,77.0,11.0,628.0,1833
CUM,LONG ISLAND,90.0,37.0,8.0,0.0,69.0,204
CUM,NAPLES,681.0,1096.0,75.0,20.0,959.0,2831
CUM,NEW GLOUCESTER,1107.0,1330.0,220.0,34.0,1286.0,3977
CUM,NORTH YARMOUTH,1332.0,876.0,100.0,5.0,974.0,3287
CUM,PORTLAND,26987.0,4241.0,1400.0,304.0,11515.0,44447
CUM,POWNAL,469.0,364.0,52.0,2.0,440.0,1327
CUM,RAYMOND,1025.0,1148.0,116.0,22.0,1158.0,3469
CUM,SCARBOROUGH,6551.0,4122.0,365.0,52.0,5516.0,16606
CUM,SEBAGO,365.0,568.0,69.0,6.0,424.0,1432
CUM,SOUTH PORTLAND,9093.0,2514.0,562.0,82.0,4954.0,17205
CUM,STANDISH,1837.0,2505.0,327.0,31.0,1992.0,6692
CUM,WESTBROOK,5113.0,2343.0,421.0,58.0,3674.0,11609
CUM,WINDHAM,3921.0,3959.0,413.0,65.0,4036.0,12394
CUM,YARMOUTH,3403.0,1199.0,200.0,23.0,1878.0,6703
FRA,AVON,72.0,125.0,8.0,2.0,93.0,300
FRA,CARRABASSETT VALLEY,220.0,155.0,24.0,1.0,208.0,608
FRA,CARTHAGE,71.0,139.0,21.0,0.0,139.0,370
FRA,CHESTERVILLE,194.0,349.0,47.0,1.0,312.0,903
FRA,COPLIN PLT,39.0,46.0,9.0,0.0,34.0,128
FRA,DALLAS PLT,57.0,102.0,9.0,1.0,86.0,255
FRA,EUSTIS,110.0,212.0,31.0,5.0,191.0,549
FRA,FARMINGTON,1351.0,1428.0,157.0,19.0,1319.0,4274
FRA,INDUSTRY,122.0,192.0,16.0,0.0,202.0,532
FRA,JAY,925.0,928.0,82.0,15.0,847.0,2797
FRA,KINGFIELD,203.0,377.0,46.0,6.0,315.0,947
FRA,NEW SHARON,244.0,412.0,49.0,6.0,353.0,1064
FRA,NEW VINEYARD,108.0,216.0,21.0,2.0,164.0,511
FRA,PHILLIPS,154.0,295.0,33.0,4.0,268.0,754
FRA,RANGELEY,196.0,400.0,52.0,3.0,305.0,956
FRA,RANGELEY PLT,32.0,70.0,2.0,0.0,59.0,163
FRA,SANDY RIVER PLT,40.0,40.0,2.0,1.0,38.0,121
FRA,STRONG,190.0,432.0,26.0,2.0,277.0,927
FRA,TEMPLE,129.0,123.0,9.0,0.0,94.0,355
FRA,WELD,97.0,129.0,10.0,2.0,105.0,343
FRA,WILTON,650.0,880.0,82.0,9.0,768.0,2389
HAN,AMHERST,48.0,112.0,8.0,1.0,49.0,218
HAN,AURORA,14.0,38.0,4.0,1.0,30.0,87
HAN,BAR HARBOR,2023.0,693.0,89.0,16.0,1245.0,4066
HAN,BLUE HILL,1105.0,491.0,62.0,8.0,665.0,2331
HAN,BROOKLIN,331.0,139.0,24.0,2.0,200.0,696
HAN,BROOKSVILLE,342.0,169.0,46.0,0.0,197.0,754
HAN,BUCKSPORT,895.0,1120.0,90.0,13.0,1063.0,3181
HAN,CASTINE,298.0,119.0,11.0,5.0,197.0,630
HAN,CRANBERRY ISLES,65.0,19.0,3.0,0.0,62.0,149
HAN,DEDHAM,329.0,461.0,60.0,4.0,416.0,1270
HAN,DEER ISLE,604.0,368.0,35.0,2.0,456.0,1465
HAN,EASTBROOK,51.0,150.0,15.0,2.0,81.0,299
HAN,ELLSWORTH,1623.0,2052.0,190.0,34.0,1653.0,5552
HAN,FRANKLIN,288.0,405.0,49.0,4.0,307.0,1053
HAN,FRENCHBORO,10.0,13.0,1.0,0.0,12.0,36
HAN,GOULDSBORO,358.0,495.0,46.0,4.0,354.0,1257
HAN,GREAT POND,11.0,15.0,2.0,0.0,16.0,44
HAN,HANCOCK,429.0,688.0,80.0,11.0,482.0,1690
HAN,LAMOINE,424.0,448.0,43.0,4.0,385.0,1304
HAN,MARIAVILLE,88.0,154.0,7.0,1.0,129.0,379
HAN,MOUNT DESERT,775.0,304.0,30.0,8.0,426.0,1543
HAN,ORLAND,460.0,560.0,84.0,5.0,542.0,1651
HAN,OSBORN,5.0,35.0,0.0,0.0,15.0,55
HAN,OTIS,105.0,255.0,27.0,1.0,160.0,548
HAN,PENOBSCOT,338.0,272.0,33.0,3.0,283.0,929
HAN,SEDGWICK,419.0,218.0,27.0,1.0,268.0,933
HAN,SORRENTO,69.0,97.0,3.0,0.0,61.0,230
HAN,SOUTHWEST HARBOR,575.0,291.0,31.0,2.0,365.0,1264
HAN,STONINGTON,286.0,154.0,24.0,1.0,255.0,720
HAN,SULLIVAN,227.0,280.0,38.0,6.0,288.0,839
HAN,SURRY,418.0,413.0,40.0,6.0,366.0,1243
HAN,SWANS ISLAND,77.0,118.0,22.0,2.0,93.0,312
HAN,TREMONT,432.0,301.0,39.0,4.0,347.0,1123
HAN,TRENTON,351.0,357.0,40.0,8.0,348.0,1104
HAN,VERONA ISLAND,108.0,155.0,12.0,3.0,119.0,397
HAN,WALTHAM,49.0,155.0,8.0,1.0,71.0,284
HAN,WINTER HARBOR,113.0,156.0,9.0,1.0,91.0,370
KEN,ALBION,260.0,627.0,42.0,8.0,408.0,1345
KEN,AUGUSTA,3778.0,3334.0,403.0,80.0,3290.0,10885
KEN,BELGRADE,617.0,898.0,98.0,16.0,783.0,2412
KEN,BENTON,358.0,757.0,67.0,5.0,504.0,1691
KEN,CHELSEA,422.0,657.0,72.0,8.0,558.0,1717
KEN,CHINA,710.0,1111.0,71.0,12.0,893.0,2797
KEN,CLINTON,402.0,817.0,81.0,6.0,588.0,1894
KEN,FARMINGDALE,616.0,642.0,80.0,19.0,575.0,1932
KEN,FAYETTE,268.0,323.0,28.0,7.0,282.0,908
KEN,GARDINER,1278.0,1073.0,215.0,14.0,1013.0,3593
KEN,HALLOWELL,1052.0,369.0,57.0,11.0,477.0,1966
KEN,LITCHFIELD,571.0,1016.0,89.0,16.0,769.0,2461
KEN,MANCHESTER,497.0,685.0,60.0,3.0,536.0,1781
KEN,MONMOUTH,728.0,1128.0,145.0,11.0,896.0,2908
KEN,MOUNT VERNON,398.0,446.0,65.0,9.0,388.0,1306
KEN,OAKLAND,1044.0,1469.0,107.0,17.0,1322.0,3959
KEN,PITTSTON,461.0,818.0,76.0,12.0,631.0,1998
KEN,RANDOLPH,331.0,410.0,59.0,4.0,315.0,1119
KEN,READFIELD,606.0,649.0,77.0,11.0,592.0,1935
KEN,ROME,239.0,261.0,34.0,4.0,255.0,793
KEN,SIDNEY,733.0,1433.0,125.0,15.0,1009.0,3315
KEN,VASSALBORO,767.0,1051.0,155.0,23.0,871.0,2867
KEN,VIENNA,134.0,123.0,34.0,2.0,165.0,458
KEN,WATERVILLE,3542.0,1853.0,220.0,76.0,2591.0,8282
KEN,WAYNE,352.0,271.0,13.0,1.0,297.0,934
KEN,WEST GARDINER,629.0,1043.0,119.0,19.0,824.0,2634
KEN,WINDSOR,330.0,739.0,73.0,14.0,520.0,1676
KEN,WINSLOW,1483.0,1772.0,152.0,28.0,1605.0,5040
KEN,WINTHROP,1301.0,1379.0,187.0,20.0,1309.0,4196
KNO,APPLETON,331.0,324.0,55.0,6.0,295.0,1011
KNO,CAMDEN,2288.0,608.0,110.0,12.0,1086.0,4104
KNO,CUSHING,289.0,410.0,40.0,2.0,386.0,1127
KNO,FRIENDSHIP,227.0,391.0,42.0,6.0,252.0,918
KNO,HOPE,444.0,359.0,28.0,7.0,386.0,1224
KNO,ISLE AU HAUT,47.0,4.0,1.0,1.0,19.0,72
KNO,MATINICUS ISLE PLT,21.0,7.0,1.0,0.0,25.0,54
KNO,NORTH HAVEN,182.0,41.0,5.0,1.0,97.0,326
KNO,OWLS HEAD,418.0,373.0,23.0,2.0,385.0,1201
KNO,ROCKLAND,1935.0,909.0,90.0,25.0,1417.0,4376
KNO,ROCKPORT,1269.0,588.0,63.0,10.0,831.0,2761
KNO,SAINT GEORGE,806.0,501.0,49.0,7.0,642.0,2005
KNO,SOUTH THOMASTON,417.0,323.0,24.0,6.0,398.0,1168
KNO,THOMASTON,694.0,511.0,76.0,9.0,561.0,1851
KNO,UNION,454.0,692.0,80.0,3.0,557.0,1786
KNO,VINALHAVEN,359.0,211.0,32.0,5.0,284.0,891
KNO,WARREN,627.0,997.0,126.0,14.0,835.0,2599
KNO,WASHINGTON,262.0,394.0,43.0,5.0,389.0,1093
LIN,ALNA,256.0,159.0,26.0,5.0,168.0,614
LIN,BOOTHBAY,790.0,704.0,91.0,6.0,784.0,2375
LIN,BOOTHBAY HARBOR,540.0,458.0,38.0,8.0,491.0,1535
LIN,BREMEN,307.0,133.0,20.0,1.0,226.0,687
LIN,BRISTOL,912.0,633.0,49.0,4.0,761.0,2359
