county,municipality,dem_registered,rep_registered,green_registered,lib_registered,unenrolled_registered,total_registered,dem_2018_ballots,rep_2018_ballots,dem_registered_2017,rep_registered_2017,dem_turnout_2018_pct,rep_turnout_2018_pct,dem_eligible_2026,rep_eligible_2026
ARO,LUDLOW,44.0,102.0,10.0,2.0,123.0,281,12,29,47.0,104.0,25.53,27.88,167.0,225.0
ARO,MACWAHOC PLT,12.0,19.0,4.0,0.0,8.0,43,2,2,24.0,14.0,8.33,14.29,20.0,27.0
ARO,MADAWASKA,1061.0,652.0,108.0,5.0,525.0,2351,381,93,1794.0,406.0,21.24,22.91,1586.0,1177.0
ARO,MADAWASKA LAKE,40.0,51.0,4.0,0.0,22.0,117,16,31,,,,,62.0,73.0
ARO,MAPLETON,252.0,580.0,67.0,10.0,334.0,1243,88,229,316.0,571.0,27.85,40.11,586.0,914.0
ARO,MARS HILL,117.0,412.0,31.0,2.0,217.0,779,36,129,195.0,476.0,18.46,27.1,334.0,629.0
ARO,MASARDIS,24.0,57.0,7.0,1.0,52.0,141,0,19,38.0,52.0,0.0,36.54,76.0,109.0
ARO,MERRILL,32.0,71.0,3.0,4.0,50.0,160,6,19,38.0,52.0,15.79,36.54,82.0,121.0
ARO,MONTICELLO,51.0,213.0,11.0,2.0,160.0,437,26,90,112.0,219.0,23.21,41.1,211.0,373.0
ARO,MORO PLT,2.0,17.0,1.0,0.0,9.0,29,1,7,3.0,18.0,33.33,38.89,11.0,26.0
ARO,NASHVILLE PLT,7.0,11.0,0.0,0.0,6.0,24,2,2,14.0,5.0,14.29,40.0,13.0,17.0
ARO,NEW CANADA,60.0,73.0,6.0,0.0,49.0,188,27,13,91.0,42.0,29.67,30.95,109.0,122.0
ARO,NEW LIMERICK,54.0,197.0,6.0,1.0,112.0,370,25,62,81.0,209.0,30.86,29.67,166.0,309.0
ARO,NEW SWEDEN,84.0,147.0,13.0,0.0,139.0,383,40,43,121.0,166.0,33.06,25.9,223.0,286.0
ARO,OAKFIELD,82.0,211.0,21.0,7.0,141.0,462,23,52,121.0,171.0,19.01,30.41,223.0,352.0
ARO,ORIENT,16.0,40.0,0.0,0.0,32.0,88,11,13,22.0,36.0,50.0,36.11,48.0,72.0
ARO,OXBOW NORTH TWP,6.0,27.0,4.0,0.0,15.0,52,0,6,9.0,25.0,0.0,24.0,21.0,42.0
ARO,PERHAM,47.0,138.0,11.0,0.0,78.0,274,11,38,72.0,116.0,15.28,32.76,125.0,216.0
ARO,PORTAGE LAKE,55.0,119.0,12.0,4.0,101.0,291,27,39,89.0,88.0,30.34,44.32,156.0,220.0
ARO,PRESQUE ISLE,1185.0,1720.0,202.0,48.0,1385.0,4540,450,639,1908.0,2041.0,23.58,31.31,2570.0,3105.0
ARO,REED PLT,14.0,53.0,6.0,0.0,20.0,93,4,24,15.0,44.0,26.67,54.55,34.0,73.0
ARO,SAINT AGATHA,188.0,180.0,39.0,1.0,104.0,512,84,0,351.0,98.0,23.93,0.0,292.0,284.0
ARO,SAINT FRANCIS,103.0,73.0,8.0,0.0,76.0,260,25,12,197.0,50.0,12.69,24.0,179.0,149.0
ARO,SAINT JOHN PLT,72.0,50.0,3.0,0.0,43.0,168,15,12,109.0,22.0,13.76,54.55,115.0,93.0
ARO,SHERMAN,60.0,271.0,13.0,0.0,178.0,522,37,138,88.0,248.0,42.05,55.65,238.0,449.0
ARO,SILVER RIDGE TWP,1.0,36.0,2.0,2.0,12.0,53,0,0,6.0,34.0,0.0,0.0,13.0,48.0
ARO,SINCLAIR,60.0,42.0,23.0,1.0,45.0,171,0,0,,,,,105.0,87.0
ARO,SMYRNA,36.0,90.0,2.0,1.0,61.0,190,12,20,54.0,49.0,22.22,40.82,97.0,151.0
ARO,STOCKHOLM,49.0,69.0,7.0,0.0,42.0,167,28,29,84.0,58.0,33.33,50.0,91.0,111.0
ARO,VAN BUREN,440.0,251.0,38.0,4.0,276.0,1009,175,65,760.0,191.0,23.03,34.03,716.0,527.0
ARO,WADE,32.0,90.0,10.0,3.0,46.0,181,9,25,50.0,82.0,18.0,30.49,78.0,136.0
ARO,WALLAGRASS,127.0,94.0,11.0,2.0,94.0,328,76,16,199.0,47.0,38.19,34.04,221.0,188.0
ARO,WASHBURN,174.0,383.0,22.0,8.0,275.0,862,68,128,264.0,387.0,25.76,33.07,449.0,658.0
ARO,WESTFIELD,58.0,151.0,14.0,1.0,72.0,296,19,48,99.0,141.0,19.19,34.04,130.0,223.0
ARO,WESTMANLAND,9.0,34.0,6.0,0.0,25.0,74,2,13,9.0,22.0,22.22,59.09,34.0,59.0
ARO,WESTON,31.0,115.0,8.0,1.0,74.0,229,18,30,62.0,91.0,29.03,32.97,105.0,189.0
ARO,WINTERVILLE PLT,41.0,57.0,8.0,0.0,53.0,159,17,16,83.0,35.0,20.48,45.71,94.0,110.0
ARO,WOODLAND,136.0,369.0,31.0,6.0,207.0,749,56,97,207.0,340.0,27.05,28.53,343.0,576.0
CUM,BALDWIN,211.0,531.0,43.0,3.0,333.0,1121,67,190,268.0,453.0,25.0,41.94,544.0,864.0
CUM,BRIDGTON,1126.0,1282.0,187.0,31.0,1299.0,3925,438,534,1090.0,1317.0,40.18,40.55,2425.0,2581.0
CUM,BRUNSWICK,7911.0,2887.0,438.0,41.0,4784.0,16061,3147,1172,7603.0,3672.0,41.39,31.92,12695.0,7671.0
CUM,CAPE ELIZABETH,4074.0,1228.0,106.0,6.0,1974.0,7388,2254,867,3454.0,1977.0,65.26,43.85,6048.0,3202.0
CUM,CASCO,684.0,834.0,128.0,17.0,860.0,2523,261,295,837.0,876.0,31.18,33.68,1544.0,1694.0
CUM,CHEBEAGUE ISLAND,192.0,68.0,13.0,0.0,85.0,358,105,50,157.0,83.0,66.88,60.24,277.0,153.0
CUM,CUMBERLAND,2830.0,1540.0,113.0,16.0,2030.0,6529,698,936,2207.0,2124.0,31.63,44.07,4860.0,3570.0
CUM,FALMOUTH,4434.0,2232.0,127.0,29.0,2879.0,9701,2005,1210,3206.0,2765.0,62.54,43.76,7313.0,5111.0
CUM,FREEPORT,3135.0,1248.0,145.0,27.0,2079.0,6634,1443,576,2821.0,1508.0,51.15,38.2,5214.0,3327.0
CUM,FRYE ISLAND,15.0,15.0,2.0,0.0,22.0,54,9,7,31.0,48.0,29.03,14.58,37.0,37.0
CUM,GORHAM,4498.0,3562.0,384.0,49.0,3860.0,12353,1644,1785,4255.0,3767.0,38.64,47.39,8358.0,7422.0
CUM,GRAY,1691.0,1922.0,192.0,49.0,2090.0,5944,554,734,1639.0,1883.0,33.8,38.98,3781.0,4012.0
CUM,HARPSWELL,1625.0,1063.0,109.0,11.0,1339.0,4147,874,533,1336.0,1062.0,65.42,50.19,2964.0,2402.0
CUM,HARRISON,461.0,656.0,77.0,11.0,628.0,1833,193,278,441.0,580.0,43.76,47.93,1089.0,1284.0
CUM,LONG ISLAND,90.0,37.0,8.0,0.0,69.0,204,54,33,85.0,59.0,63.53,55.93,159.0,106.0
CUM,NAPLES,681.0,1096.0,75.0,20.0,959.0,2831,244,367,743.0,981.0,32.84,37.41,1640.0,2055.0
CUM,NEW GLOUCESTER,1107.0,1330.0,220.0,34.0,1286.0,3977,454,561,1011.0,1216.0,44.91,46.13,2393.0,2616.0
CUM,NORTH YARMOUTH,1332.0,876.0,100.0,5.0,974.0,3287,609,480,1089.0,969.0,55.92,49.54,2306.0,1850.0
CUM,PORTLAND,26987.0,4241.0,1400.0,304.0,11515.0,44447,11252,1865,28130.0,7019.0,40.0,26.57,38502.0,15756.0
CUM,POWNAL,469.0,364.0,52.0,2.0,440.0,1327,239,186,395.0,356.0,60.51,52.25,909.0,804.0
CUM,RAYMOND,1025.0,1148.0,116.0,22.0,1158.0,3469,416,480,1110.0,1225.0,37.48,39.18,2183.0,2306.0
CUM,SCARBOROUGH,6551.0,4122.0,365.0,52.0,5516.0,16606,2331,2096,5178.0,4953.0,45.02,42.32,12067.0,9638.0
CUM,SEBAGO,365.0,568.0,69.0,6.0,424.0,1432,157,179,420.0,491.0,37.38,36.46,789.0,992.0
CUM,SOUTH PORTLAND,9093.0,2514.0,562.0,82.0,4954.0,17205,3692,1152,8678.0,3607.0,42.54,31.94,14047.0,7468.0
CUM,STANDISH,1837.0,2505.0,327.0,31.0,1992.0,6692,586,871,1974.0,2294.0,29.69,37.97,3829.0,4497.0
CUM,WESTBROOK,5113.0,2343.0,421.0,58.0,3674.0,11609,1770,972,5043.0,2876.0,35.1,33.8,8787.0,6017.0
CUM,WINDHAM,3921.0,3959.0,413.0,65.0,4036.0,12394,1157,1284,3657.0,3598.0,31.64,35.69,7957.0,7995.0
CUM,YARMOUTH,3403.0,1199.0,200.0,23.0,1878.0,6703,1632,885,2854.0,1964.0,57.18,45.06,5281.0,3077.0
FRA,AVON,72.0,125.0,8.0,2.0,93.0,300,20,37,92.0,104.0,21.74,35.58,165.0,218.0
FRA,CARRABASSETT VALLEY,220.0,155.0,24.0,1.0,208.0,608,76,67,187.0,198.0,40.64,33.84,428.0,363.0
FRA,CARTHAGE,71.0,139.0,21.0,0.0,139.0,370,28,31,112.0,96.0,25.0,32.29,210.0,278.0
FRA,CHESTERVILLE,194.0,349.0,47.0,1.0,312.0,903,96,112,257.0,273.0,37.35,41.03,506.0,661.0
FRA,COPLIN PLT,39.0,46.0,9.0,0.0,34.0,128,14,18,38.0,51.0,36.84,35.29,73.0,80.0
FRA,DALLAS PLT,57.0,102.0,9.0,1.0,86.0,255,36,27,49.0,78.0,73.47,34.62,143.0,188.0
FRA,EUSTIS,110.0,212.0,31.0,5.0,191.0,549,40,75,141.0,199.0,28.37,37.69,301.0,403.0
FRA,FARMINGTON,1351.0,1428.0,157.0,19.0,1319.0,4274,568,716,1760.0,1899.0,32.27,37.7,2670.0,2747.0
FRA,INDUSTRY,122.0,192.0,16.0,0.0,202.0,532,84,77,150.0,209.0,56.0,36.84,324.0,394.0
FRA,JAY,925.0,928.0,82.0,15.0,847.0,2797,420,295,1241.0,776.0,33.84,38.02,1772.0,1775.0
FRA,KINGFIELD,203.0,377.0,46.0,6.0,315.0,947,98,186,193.0,404.0,50.78,46.04,518.0,692.0
FRA,NEW SHARON,244.0,412.0,49.0,6.0,353.0,1064,122,167,282.0,428.0,43.26,39.02,597.0,765.0
FRA,NEW VINEYARD,108.0,216.0,21.0,2.0,164.0,511,50,99,141.0,229.0,35.46,43.23,272.0,380.0
FRA,PHILLIPS,154.0,295.0,33.0,4.0,268.0,754,82,99,217.0,283.0,37.79,34.98,422.0,563.0
FRA,RANGELEY,196.0,400.0,52.0,3.0,305.0,956,84,164,237.0,417.0,35.44,39.33,501.0,705.0
FRA,RANGELEY PLT,32.0,70.0,2.0,0.0,59.0,163,16,40,44.0,73.0,36.36,54.79,91.0,129.0
