county,municipality,fredette,mason,mayhew,moody,blank,total_ballots
SAG,TOPSHAM,30,201,141,413,48,833
SAG,WEST BATH,9,28,19,133,14,203
SAG,WOOLWICH,13,78,55,213,21,380
SOM,ANSON,6,45,18,76,3,148
SOM,ATHENS,1,12,9,26,1,49
SOM,BINGHAM,5,22,17,52,10,106
SOM,BRIGHTON PLT,0,1,0,5,4,10
SOM,CAMBRIDGE,6,11,9,28,5,59
SOM,CANAAN,12,29,25,63,6,135
SOM,CARATUNK,0,3,4,8,1,16
SOM,CONCORD TOWNSHIP                                                                                                                                      ,0,0,0,0,0,0
SOM,CORNVILLE,5,23,21,66,17,132
SOM,DENNISTOWN PLT,0,0,0,3,1,4
SOM,DETROIT,4,13,4,19,2,42
SOM,EMBDEN,7,10,10,51,2,80
SOM,FAIRFIELD,28,99,50,187,21,385
SOM,HARMONY,5,24,8,33,10,80
SOM,HARTLAND,26,37,28,91,6,188
SOM,HIGHLAND PLT,0,4,3,6,2,15
SOM,JACKMAN,10,18,7,58,10,103
SOM,LEXINGTON TWP/SPRING LAKE TWP                                                                                                                         ,0,1,0,0,0,1
SOM,MADISON,22,97,38,174,18,349
SOM,MERCER,4,13,14,25,4,60
SOM,MOOSE RIVER,5,5,2,20,2,34
SOM,MOSCOW,5,9,1,18,2,35
SOM,NEW PORTLAND,6,11,10,50,4,81
SOM,NORRIDGEWOCK,13,55,47,102,30,247
SOM,PALMYRA,38,42,50,77,17,224
SOM,PITTSFIELD,29,62,86,101,17,295
SOM,PLEASANT RIDGE PLT,0,3,0,7,2,12
SOM,RIPLEY,6,14,11,23,6,60
SOM,ROCKWOOD STRIP TWP,2,2,4,18,2,28
SOM,SAINT ALBANS,32,58,30,99,14,233
SOM,SKOWHEGAN,41,135,120,248,61,605
SOM,SMITHFIELD,7,16,16,43,24,106
SOM,SOLON,11,20,11,52,8,102
SOM,STARKS,7,12,8,12,6,45
SOM,THE FORKS PLT,0,1,1,8,0,10
SOM,WEST FORKS PLT,0,2,1,7,1,11
WAL,BELFAST,14,87,79,221,44,445
WAL,BELMONT,5,10,15,39,12,81
WAL,BROOKS,10,31,28,47,8,124
WAL,BURNHAM,4,10,12,43,9,78
WAL,FRANKFORT,4,14,10,42,13,83
WAL,FREEDOM,3,19,8,20,8,58
WAL,ISLESBORO,0,5,5,9,2,21
WAL,JACKSON,5,12,6,22,4,49
WAL,KNOX,2,27,12,41,14,96
WAL,LIBERTY,5,22,5,41,4,77
WAL,LINCOLNVILLE,8,29,32,115,21,205
WAL,MONROE,1,15,12,58,5,91
WAL,MONTVILLE,4,20,15,28,5,72
WAL,MORRILL,7,16,52,44,14,133
WAL,NORTHPORT,6,39,36,73,16,170
WAL,PALERMO,12,35,21,89,2,159
WAL,PROSPECT,2,10,8,30,9,59
WAL,SEARSMONT,7,30,14,66,6,123
WAL,SEARSPORT,18,55,18,101,20,212
WAL,STOCKTON SPRINGS,17,30,21,83,12,163
WAL,SWANVILLE,5,22,15,56,12,110
WAL,THORNDIKE,3,9,8,26,10,56
WAL,TROY,7,24,14,32,11,88
WAL,UNITY,7,39,26,61,10,143
WAL,WALDO,4,11,20,33,6,74
WAL,WINTERPORT,20,103,56,134,31,344
WAS,ADDISON,4,47,16,65,4,136
WAS,ALEXANDER,1,13,5,27,6,52
WAS,BAILEYVILLE,5,20,4,35,1,65
WAS,BARING PLT,2,5,1,5,3,16
WAS,BEALS,3,9,2,18,1,33
WAS,BEDDINGTON,0,0,2,2,2,6
WAS,BERRY TWP/CATHANCE TWP/MARION TWP                                                                                                                     ,0,2,4,1,1,8
WAS,CALAIS,15,57,19,83,11,185
WAS,CENTERVILLE TWP                                                                                                                                       ,1,1,1,1,0,4
WAS,CHARLOTTE,4,17,12,15,1,49
WAS,CHERRYFIELD,3,45,6,47,3,104
WAS,COLUMBIA,4,14,5,13,1,37
WAS,COLUMBIA FALLS,5,11,6,26,4,52
WAS,COOPER,1,7,6,5,1,20
WAS,CRAWFORD,1,1,4,12,0,18
WAS,CUTLER,0,33,7,18,4,62
WAS,DANFORTH,34,6,5,20,6,71
WAS,DEBLOIS,0,5,0,2,1,8
WAS,DENNYSVILLE,1,23,0,12,4,40
WAS,EAST MACHIAS,3,63,17,28,12,123
WAS,EASTPORT,5,34,14,40,13,106
WAS,GRAND LAKE STREAM PLT,0,8,0,12,3,23
WAS,HARRINGTON,2,31,5,41,6,85
WAS,INDIAN TOWNSHIP,0,0,0,5,0,5
WAS,JONESBORO,2,14,3,22,5,46
WAS,JONESPORT,4,18,7,46,10,85
WAS,LUBEC,5,38,11,29,4,87
WAS,MACHIAS,12,83,23,47,16,181
WAS,MACHIASPORT,4,47,3,8,9,71
WAS,MARSHFIELD,2,29,4,20,7,62
WAS,MEDDYBEMPS,4,7,2,8,0,21
WAS,MILBRIDGE,4,23,14,46,6,93
WAS,NORTHFIELD,2,13,0,8,0,23
WAS,PEMBROKE,2,20,10,25,11,68
WAS,PERRY,4,24,7,31,8,74
WAS,PLEASANT POINT VOTING DISTRICT,0,0,0,2,0,2
WAS,PRINCETON,3,34,7,38,6,88
WAS,ROBBINSTON,3,7,4,24,3,41
WAS,ROQUE BLUFFS,0,5,1,5,3,14
WAS,STEUBEN,6,26,11,39,5,87
WAS,T26 ED BPP TOWNSHIP                                                                                                                                   ,0,0,0,0,0,0
